identifier	altId	text	transType	isPunc	isPrimary
400010040031	the-1	the		False	True
400010040041	father-1	father		False	True
400010040051	of-1	of		False	True
400010040061	Amminadab-1	Amminadab		False	True
400010040071	,-1	,		True	False
400010040081	Amminadab-2	Amminadab		False	True
400010040091	the-2	the		False	True
400010040101	father-2	father		False	True
400010040111	of-2	of		False	True
400010040121	Nahshon-1	Nahshon		False	True
400010040131	,-2	,		True	False
400010040141	and-1	and		False	True
400010040151	Nahshon-2	Nahshon		False	True
400010040161	the-3	the		False	True
400010040171	father-3	father		False	True
400010040181	of-3	of		False	True
400010040191	Salmon-1	Salmon		False	True
400010040201	.-1	.		True	False
400010050011	Salmon-1	Salmon		False	True
400010050021	was-1	was		False	True
400010050031	the-1	the		False	True
400010050041	father-1	father		False	True
400010050051	of-1	of		False	True
400010050061	Boaz-1	Boaz		False	True
400010050071	by-1	by		False	True
400010050081	Rahab-1	Rahab		False	True
400010050091	,-1	,		True	False
400010050101	Boaz-2	Boaz		False	True
400010050111	the-2	the		False	True
400010050121	father-2	father		False	True
400010050131	of-2	of		False	True
400010050141	Obed-1	Obed		False	True
400010050151	by-2	by		False	True
400010050161	Ruth-1	Ruth		False	True
400010050171	,-2	,		True	False
400010050181	Obed-2	Obed		False	True
400010050191	the-3	the		False	True
400010050201	father-3	father		False	True
400010050211	of-3	of		False	True
400010050221	Jesse-1	Jesse		False	True
400010050231	,-3	,		True	False
400010060011	and-1	and		False	True
400010060021	Jesse-1	Jesse		False	True
400010060031	the-1	the		False	True
400010060041	father-1	father		False	True
400010060051	of-1	of		False	True
400010060061	David-1	David		False	True
400010060071	the-2	the		False	True
400010060081	king-1	king		False	True
400010060091	.-1	.		True	False
400010060101	Next-1	Next		False	True
400010060111	:-1	:		True	False
400010060121	David-2	David		False	True
400010060131	was-1	was		False	True
400010060141	the-3	the		False	True
400010060151	father-2	father		False	True
400010060161	of-2	of		False	True
400010060171	Solomon-1	Solomon		False	True
400010060181	by-1	by		False	True
400010060191	Uriah’s-1	Uriah’s		False	True
400010060201	wife-1	wife		False	True
400010060211	,-1	,		True	False
400010070011	Solomon-1	Solomon		False	True
400010070021	the-1	the		False	True
400010070031	father-1	father		False	True
400010070041	of-1	of		False	True
400010070051	Rehoboam-1	Rehoboam		False	True
400010070061	,-1	,		True	False
400010070071	Rehoboam-2	Rehoboam		False	True
400010070081	the-2	the		False	True
400010070091	father-2	father		False	True
400010070101	of-2	of		False	True
400010070111	Abijah-1	Abijah		False	True
400010070121	,-2	,		True	False
400010070131	and-1	and		False	True
400010070141	Abijah-2	Abijah		False	True
400010070151	the-3	the		False	True
400010070161	father-3	father		False	True
400010070171	of-3	of		False	True
400010070181	Asa-1	Asa		False	True
400010070191	.-1	.		True	False
400010080011	Asa-1	Asa		False	True
400010080021	was-1	was		False	True
400010080031	the-1	the		False	True
400010080041	father-1	father		False	True
400010080051	of-1	of		False	True
400010080061	Jehoshaphat-1	Jehoshaphat		False	True
400010080071	,-1	,		True	False
400010080081	Jehoshaphat-2	Jehoshaphat		False	True
400010080091	the-2	the		False	True
400010080101	father-2	father		False	True
400010080111	of-2	of		False	True
400010080121	Joram-1	Joram		False	True
400010080131	,-2	,		True	False
400010080141	and-1	and		False	True
400010080151	Joram-2	Joram		False	True
400010080161	the-3	the		False	True
400010080171	father-3	father		False	True
400010080181	of-3	of		False	True
400010080191	Uzziah-1	Uzziah		False	True
400010080201	.-1	.		True	False
400010090011	Uzziah-1	Uzziah		False	True
400010090021	was-1	was		False	True
400010090031	the-1	the		False	True
400010090041	father-1	father		False	True
400010090051	of-1	of		False	True
400010090061	Jotham-1	Jotham		False	True
400010090071	,-1	,		True	False
400010090081	Jotham-2	Jotham		False	True
400010090091	the-2	the		False	True
400010090101	father-2	father		False	True
400010090111	of-2	of		False	True
400010090121	Ahaz-1	Ahaz		False	True
400010090131	,-2	,		True	False
400010090141	and-1	and		False	True
400010090151	Ahaz-2	Ahaz		False	True
400010090161	the-3	the		False	True
400010090171	father-3	father		False	True
400010090181	of-3	of		False	True
400010090191	Hezekiah-1	Hezekiah		False	True
400010090201	.-1	.		True	False
400010100011	Hezekiah-1	Hezekiah		False	True
400010100021	was-1	was		False	True
400010100031	the-1	the		False	True
400010100041	father-1	father		False	True
400010100051	of-1	of		False	True
400010100061	Manasseh-1	Manasseh		False	True
400010100071	,-1	,		True	False
400010100081	Manasseh-2	Manasseh		False	True
400010100091	the-2	the		False	True
400010100101	father-2	father		False	True
400010100111	of-2	of		False	True
400010100121	Amon-1	Amon		False	True
400010100131	,-2	,		True	False
400010100141	Amon-2	Amon		False	True
400010100151	the-3	the		False	True
400010100161	father-3	father		False	True
400010100171	of-3	of		False	True
400010100181	Josiah-1	Josiah		False	True
400010100191	,-3	,		True	False
400010110011	and-1	and		False	True
400010110021	Josiah-1	Josiah		False	True
400010110031	the-1	the		False	True
400010110041	father-1	father		False	True
400010110051	of-1	of		False	True
400010110061	Jeconiah-1	Jeconiah		False	True
400010110071	and-2	and		False	True
400010110081	his-1	his		False	True
400010110091	brothers-1	brothers		False	True
400010110101	at-1	at		False	True
400010110111	the-1	the		False	True
400010110121	time-1	time		False	True
400010110131	of-2	of		False	True
400010110141	the-2	the		False	True
400010110151	exile-1	exile		False	True
400010110161	to-1	to		False	True
400010110171	Babylon-1	Babylon		False	True
400010110181	.-1	.		True	False
400010120011	After-1	After		False	True
400010120021	the-1	the		False	True
400010120031	exile-1	exile		False	True
400010120041	to-1	to		False	True
400010120051	Babylon-1	Babylon		False	True
400010120061	:-1	:		True	False
400010120071	Jeconiah-1	Jeconiah		False	True
400010120081	was-1	was		False	True
400010120091	the-2	the		False	True
400010120101	father-1	father		False	True
400010120111	of-1	of		False	True
400010120121	Shealtiel-1	Shealtiel		False	True
400010120131	,-1	,		True	False
400010120141	Shealtiel-2	Shealtiel		False	True
400010120151	the-3	the		False	True
400010120161	father-2	father		False	True
400010120171	of-2	of		False	True
400010120181	Zerubbabel-1	Zerubbabel		False	True
400010120191	,-2	,		True	False
400010130011	Zerubbabel-1	Zerubbabel		False	True
400010130021	the-1	the		False	True
400010130031	father-1	father		False	True
400010130041	of-1	of		False	True
400010130051	Abiud-1	Abiud		False	True
400010130061	,-1	,		True	False
400010130071	Abiud-2	Abiud		False	True
400010130081	the-2	the		False	True
400010130091	father-2	father		False	True
400010130101	of-2	of		False	True
400010130111	Eliakim-1	Eliakim		False	True
400010130121	,-2	,		True	False
400010130131	and-1	and		False	True
400010130141	Eliakim-2	Eliakim		False	True
400010130151	the-3	the		False	True
400010130161	father-3	father		False	True
400010130171	of-3	of		False	True
400010130181	Azor-1	Azor		False	True
400010130191	.-1	.		True	False
400010140011	Azor-1	Azor		False	True
400010140021	was-1	was		False	True
400010140031	the-1	the		False	True
400010140041	father-1	father		False	True
400010140051	of-1	of		False	True
400010140061	Zadok-1	Zadok		False	True
400010140071	,-1	,		True	False
400010140081	Zadok-2	Zadok		False	True
400010140091	the-2	the		False	True
400010140101	father-2	father		False	True
400010140111	of-2	of		False	True
400010140121	Achim-1	Achim		False	True
400010140131	,-2	,		True	False
400010140141	and-1	and		False	True
400010140151	Achim-2	Achim		False	True
400010140161	the-3	the		False	True
400010140171	father-3	father		False	True
400010140181	of-3	of		False	True
400010140191	Eliud-1	Eliud		False	True
400010140201	.-1	.		True	False
400010150011	Eliud-1	Eliud		False	True
400010150021	was-1	was		False	True
400010150031	the-1	the		False	True
400010150041	father-1	father		False	True
400010150051	of-1	of		False	True
400010150061	Eleazar-1	Eleazar		False	True
400010150071	,-1	,		True	False
400010150081	Eleazar-2	Eleazar		False	True
400010150091	the-2	the		False	True
400010150101	father-2	father		False	True
400010150111	of-2	of		False	True
400010150121	Matthan-1	Matthan		False	True
400010150131	,-2	,		True	False
400010150141	Matthan-2	Matthan		False	True
400010150151	the-3	the		False	True
400010150161	father-3	father		False	True
400010150171	of-3	of		False	True
400010150181	Jacob-1	Jacob		False	True
400010150191	,-3	,		True	False
400010160011	and-1	and		False	True
400010160021	Jacob-1	Jacob		False	True
400010160031	the-1	the		False	True
400010160041	father-1	father		False	True
400010160051	of-1	of		False	True
400010160061	Joseph-1	Joseph		False	True
400010160071	,-1	,		True	False
400010160081	the-2	the		False	True
400010160091	husband-1	husband		False	True
400010160101	of-2	of		False	True
400010160111	Mary-1	Mary		False	True
400010160121	,-2	,		True	False
400010160131	of-3	of		False	True
400010160141	whom-1	whom		False	True
400010160151	was-1	was		False	True
400010160161	born-1	born		False	True
400010160171	Jesus-1	Jesus		False	True
400010160181	,-3	,		True	False
400010160191	who-1	who		False	True
400010160201	is-1	is		False	True
400010160211	called-1	called		False	True
400010160221	Christ-1	Christ		False	True
400010160231	.-1	.		True	False
400010170011	In-1	In		False	True
400010170021	all-1	all		False	True
400010170031	,-1	,		True	False
400010170041	then-1	then		False	True
400010170051	,-2	,		True	False
400010170061	there-1	there		False	True
400010170071	were-1	were		False	True
400010170081	fourteen-1	fourteen		False	True
400010170091	generations-1	generations		False	True
400010170101	from-1	from		False	True
400010170111	Abraham-1	Abraham		False	True
400010170121	to-1	to		False	True
400010170131	David-1	David		False	True
400010170141	,-3	,		True	False
400010170151	fourteen-2	fourteen		False	True
400010170161	from-2	from		False	True
400010170171	David-2	David		False	True
400010170181	to-2	to		False	True
400010170191	the-1	the		False	True
400010170201	exile-1	exile		False	True
400010170211	to-3	to		False	True
400010170221	Babylon-1	Babylon		False	True
400010170231	,-4	,		True	False
400010170241	and-1	and		False	True
400010170251	fourteen-3	fourteen		False	True
400010170261	from-3	from		False	True
400010170271	the-2	the		False	True
400010170281	exile-2	exile		False	True
400010170291	to-4	to		False	True
400010170301	the-3	the		False	True
400010170311	Christ-1	Christ		False	True
400010170321	.-1	.		True	False
400010180011	This-1	This		False	True
400010180021	is-1	is		False	True
400010180031	how-1	how		False	True
400010180041	the-1	the		False	True
400010180051	birth-1	birth		False	True
400010180061	of-1	of		False	True
400010180071	Jesus-1	Jesus		False	True
400010180081	Christ-1	Christ		False	True
400010180091	came-1	came		False	True
400010180101	about-1	about		False	True
400010180111	:-1	:		True	False
400010180121	His-1	His		False	True
400010180131	mother-1	mother		False	True
400010180141	Mary-1	Mary		False	True
400010180151	was-1	was		False	True
400010180161	pledged-1	pledged		False	True
400010180171	in-1	in		False	True
400010180181	marriage-1	marriage		False	True
400010180191	to-1	to		False	True
400010180201	Joseph-1	Joseph		False	True
400010180211	,-1	,		True	False
400010180221	but-1	but		False	True
400010180231	before-1	before		False	True
400010180241	they-1	they		False	True
400010180251	came-2	came		False	True
400010180261	together-1	together		False	True
400010180271	,-2	,		True	False
400010180281	she-1	she		False	True
400010180291	was-2	was		False	True
400010180301	found-1	found		False	True
400010180311	to-2	to		False	True
400010180321	be-1	be		False	True
400010180331	with-1	with		False	True
400010180341	child-1	child		False	True
400010180351	through-1	through		False	True
400010180361	the-1	the		False	True
400010180371	Holy-1	Holy		False	True
400010180381	Spirit-1	Spirit		False	True
400010180391	.-1	.		True	False
400010190011	Because-1	Because		False	True
400010190021	Joseph-1	Joseph		False	True
400010190031	her-1	her		False	True
400010190041	husband-1	husband		False	True
400010190051	was-1	was		False	True
400010190061	a-1	a		False	True
400010190071	righteous-1	righteous		False	True
400010190081	man-1	man		False	True
400010190091	and-1	and		False	True
400010190101	was-2	was		False	True
400010190111	unwilling-1	unwilling		False	True
400010190121	to-1	to		False	True
400010190131	disgrace-1	disgrace		False	True
400010190141	her-2	her		False	True
400010190151	publicly-1	publicly		False	True
400010190161	,-1	,		True	False
400010190171	he-1	he		False	True
400010190181	resolved-1	resolved		False	True
400010190191	to-2	to		False	True
400010190201	divorce-1	divorce		False	True
400010190211	her-3	her		False	True
400010190221	quietly-1	quietly		False	True
400010190231	.-1	.		True	False
400010200011	But-1	But		False	True
400010200021	after-1	after		False	True
400010200031	he-1	he		False	True
400010200041	had-1	had		False	True
400010200051	pondered-1	pondered		False	True
400010200061	these-1	these		False	True
400010200071	things-1	things		False	True
400010200081	,-1	,		True	False
400010200091	an-1	an		False	True
400010200101	angel-1	angel		False	True
400010200111	of-1	of		False	True
400010200121	the-1	the		False	True
400010200131	Lord-1	Lord		False	True
400010200141	appeared-1	appeared		False	True
400010200151	to-1	to		False	True
400010200161	him-1	him		False	True
400010200171	in-1	in		False	True
400010200181	a-1	a		False	True
400010200191	dream-1	dream		False	True
400010200201	and-1	and		False	True
400010200211	said-1	said		False	True
400010200221	,-2	,		True	False
400010200231	“-1	“		True	False
400010200241	Joseph-1	Joseph		False	True
400010200251	,-3	,		True	False
400010200261	son-1	son		False	True
400010200271	of-2	of		False	True
400010200281	David-1	David		False	True
400010200291	,-4	,		True	False
400010200301	do-1	do		False	True
400010200311	not-1	not		False	True
400010200321	be-1	be		False	True
400010200331	afraid-1	afraid		False	True
400010200341	to-2	to		False	True
400010200351	embrace-1	embrace		False	True
400010200361	Mary-1	Mary		False	True
400010200371	as-1	as		False	True
400010200381	your-1	your		False	True
400010200391	wife-1	wife		False	True
400010200401	,-5	,		True	False
400010200411	for-1	for		False	True
400010200421	the-1	the		False	True
400010200431	One-1	One		False	True
400010200441	conceived-1	conceived		False	True
400010200451	in-2	in		False	True
400010200461	her-1	her		False	True
400010200471	is-1	is		False	True
400010200481	from-1	from		False	True
400010200491	the-2	the		False	True
400010200501	Holy-1	Holy		False	True
400010200511	Spirit-1	Spirit		False	True
400010200521	.-1	.		True	False
400010210011	She-1	She		False	True
400010210021	will-1	will		False	True
400010210031	give-1	give		False	True
400010210041	birth-1	birth		False	True
400010210051	to-1	to		False	True
400010210061	a-1	a		False	True
400010210071	Son-1	Son		False	True
400010210081	,-1	,		True	False
400010210091	and-1	and		False	True
400010210101	you-1	you		False	True
400010210111	are-1	are		False	True
400010210121	to-2	to		False	True
400010210131	give-2	give		False	True
400010210141	Him-1	Him		False	True
400010210151	the-1	the		False	True
400010210161	name-1	name		False	True
400010210171	Jesus-1	Jesus		False	True
400010210181	,-2	,		True	False
400010210191	because-1	because		False	True
400010210201	He-1	He		False	True
400010210211	will-2	will		False	True
400010210221	save-1	save		False	True
400010210231	His-1	His		False	True
400010210241	people-1	people		False	True
400010210251	from-1	from		False	True
400010210261	their-1	their		False	True
400010210271	sins-1	sins		False	True
400010210281	.-1	.		True	False
400010220011	All-1	All		False	True
400010220021	this-1	this		False	True
400010220031	took-1	took		False	True
400010220041	place-1	place		False	True
400010220051	to-1	to		False	True
400010220061	fulfill-1	fulfill		False	True
400010220071	what-1	what		False	True
400010220081	the-1	the		False	True
400010220091	Lord-1	Lord		False	True
400010220101	had-1	had		False	True
400010220111	said-1	said		False	True
400010220121	through-1	through		False	True
400010220131	the-2	the		False	True
400010220141	prophet-1	prophet		False	True
400010220151	:-1	:		True	False
400010230011	“-1	“		True	False
400010230021	Behold-1	Behold		False	True
400010230031	,-1	,		True	False
400010230041	the-1	the		False	True
400010230051	virgin-1	virgin		False	True
400010230061	will-1	will		False	True
400010230071	be-1	be		False	True
400010230081	with-1	with		False	True
400010230091	child-1	child		False	True
400010230101	and-1	and		False	True
400010230111	will-2	will		False	True
400010230121	give-1	give		False	True
400010230131	birth-1	birth		False	True
400010230141	to-1	to		False	True
400010230151	a-1	a		False	True
400010230161	son-1	son		False	True
400010230171	,-2	,		True	False
400010230181	and-2	and		False	True
400010230191	they-1	they		False	True
400010230201	will-3	will		False	True
400010230211	call-1	call		False	True
400010230221	Him-1	Him		False	True
400010230231	Immanuel-1	Immanuel		False	True
400010230241	”-1	”		True	False
400010230251	(-1	(		True	False
400010230261	which-1	which		False	True
400010230271	means-1	means		False	True
400010230281	,-3	,		True	False
400010230291	“-2	“		True	False
400010230301	God-1	God		False	True
400010230311	with-2	with		False	True
400010230321	us-1	us		False	True
400010230331	”-2	”		True	False
400010240011	When-1	When		False	True
400010240021	Joseph-1	Joseph		False	True
400010240031	woke-1	woke		False	True
400010240041	up-1	up		False	True
400010240051	,-1	,		True	False
400010240061	he-1	he		False	True
400010240071	did-1	did		False	True
400010240081	as-1	as		False	True
400010240091	the-1	the		False	True
400010240101	angel-1	angel		False	True
400010240111	of-1	of		False	True
400010240121	the-1	the		False	True
400010240131	Lord-1	Lord		False	True
400010240141	had-1	had		False	True
400010240151	commanded-1	commanded		False	True
400010240161	him-1	him		False	True
400010240171	and-1	and		False	True
400010240181	embraced-1	embraced		False	True
400010240191	Mary-1	Mary		False	True
400010240201	as-1	as		False	True
400010240211	his-1	his		False	True
400010240221	wife-1	wife		False	True
400010240231	.-1	.		True	False
400010250011	But-1	But		False	True
400010250021	he-1	he		False	True
400010250031	had-1	had		False	True
400010250041	no-1	no		False	True
400010250051	union-1	union		False	True
400010250061	with-1	with		False	True
400010250071	her-1	her		False	True
400010250081	until-1	until		False	True
400010250091	she-1	she		False	True
400010250101	gave-1	gave		False	True
400010250111	birth-1	birth		False	True
400010250121	to-1	to		False	True
400010250131	a-1	a		False	True
400010250141	Son-1	Son		False	True
400010250151	.-1	.		True	False
400010250161	And-1	And		False	True
400010250171	he-2	he		False	True
400010250181	gave-2	gave		False	True
400010250191	Him-1	Him		False	True
400010250201	the-1	the		False	True
400010250211	name-1	name		False	True
400010250221	Jesus-1	Jesus		False	True
400010250231	.-2	.		True	False
400020010011	After-1	After		False	True
400020010021	Jesus-1	Jesus		False	True
400020010031	was-1	was		False	True
400020010041	born-1	born		False	True
400020010051	in-1	in		False	True
400020010061	Bethlehem-1	Bethlehem		False	True
400020010071	in-2	in		False	True
400020010081	Judea-1	Judea		False	True
400020010091	,-1	,		True	False
400020010101	during-1	during		False	True
400020010111	the-1	the		False	True
400020010121	time-1	time		False	True
400020010131	of-1	of		False	True
400020010141	King-1	King		False	True
400020010151	Herod-1	Herod		False	True
400020010161	,-2	,		True	False
400020010171	Magi-1	Magi		False	True
400020010181	from-1	from		False	True
400020010191	the-2	the		False	True
400020010201	east-1	east		False	True
400020010211	arrived-1	arrived		False	True
400020010221	in-3	in		False	True
400020010231	Jerusalem-1	Jerusalem		False	True
400020010241	,-3	,		True	False
400020020011	asking-1	asking		False	True
400020020021	,-1	,		True	False
400020020031	“-1	“		True	False
400020020041	Where-1	Where		False	True
400020020051	is-1	is		False	True
400020020061	the-1	the		False	True
400020020071	One-1	One		False	True
400020020081	who-1	who		False	True
400020020091	has-1	has		False	True
400020020101	been-1	been		False	True
400020020111	born-1	born		False	True
400020020121	King-1	King		False	True
400020020131	of-1	of		False	True
400020020141	the-2	the		False	True
400020020151	Jews-1	Jews		False	True
400020020161	?-1	?		True	False
400020020171	We-1	We		False	True
400020020181	saw-1	saw		False	True
400020020191	His-1	His		False	True
400020020201	star-1	star		False	True
400020020211	in-1	in		False	True
400020020221	the-3	the		False	True
400020020231	east-1	east		False	True
400020020241	and-1	and		False	True
400020020251	have-1	have		False	True
400020020261	come-1	come		False	True
400020020271	to-1	to		False	True
400020020281	worship-1	worship		False	True
400020020291	Him-1	Him		False	True
400020020301	.-1	.		True	False
400020030011	When-1	When		False	True
400020030021	King-1	King		False	True
400020030031	Herod-1	Herod		False	True
400020030041	heard-1	heard		False	True
400020030051	this-1	this		False	True
400020030061	,-1	,		True	False
400020030071	he-1	he		False	True
400020030081	was-1	was		False	True
400020030091	disturbed-1	disturbed		False	True
400020030101	,-2	,		True	False
400020030111	and-1	and		False	True
400020030121	all-1	all		False	True
400020030131	Jerusalem-1	Jerusalem		False	True
400020030141	with-1	with		False	True
400020030151	him-1	him		False	True
400020030161	.-1	.		True	False
400020040011	And-1	And		False	True
400020040021	when-1	when		False	True
400020040031	he-1	he		False	True
400020040041	had-1	had		False	True
400020040051	assembled-1	assembled		False	True
400020040061	all-1	all		False	True
400020040071	the-1	the		False	True
400020040081	chief-1	chief		False	True
400020040091	priests-1	priests		False	True
400020040101	and-1	and		False	True
400020040111	scribes-1	scribes		False	True
400020040121	of-1	of		False	True
400020040131	the-2	the		False	True
400020040141	people-1	people		False	True
400020040151	,-1	,		True	False
400020040161	he-2	he		False	True
400020040171	asked-1	asked		False	True
400020040181	them-1	them		False	True
400020040191	where-1	where		False	True
400020040201	the-3	the		False	True
400020040211	Christ-1	Christ		False	True
400020040221	was-1	was		False	True
400020040231	to-1	to		False	True
400020040241	be-1	be		False	True
400020040251	born-1	born		False	True
400020040261	.-1	.		True	False
400020050011	“-1	“		True	False
400020050021	In-1	In		False	True
400020050031	Bethlehem-1	Bethlehem		False	True
400020050041	in-1	in		False	True
400020050051	Judea-1	Judea		False	True
400020050061	,-1	,		True	False
400020050071	they-1	they		False	True
400020050081	replied-1	replied		False	True
400020050091	,-2	,		True	False
400020050101	“-2	“		True	False
400020050111	for-1	for		False	True
400020050121	this-1	this		False	True
400020050131	is-1	is		False	True
400020050141	what-1	what		False	True
400020050151	the-1	the		False	True
400020050161	prophet-1	prophet		False	True
400020050171	has-1	has		False	True
400020050181	written-1	written		False	True
400020050191	:-1	:		True	False
400020060011	‘-1	‘		True	False
400020060021	But-1	But		False	True
400020060031	you-1	you		False	True
400020060041	,-1	,		True	False
400020060051	Bethlehem-1	Bethlehem		False	True
400020060061	,-2	,		True	False
400020060071	in-1	in		False	True
400020060081	the-1	the		False	True
400020060091	land-1	land		False	True
400020060101	of-1	of		False	True
400020060111	Judah-1	Judah		False	True
400020060121	,-3	,		True	False
400020060131	are-1	are		False	True
400020060141	by-1	by		False	True
400020060151	no-1	no		False	True
400020060161	means-1	means		False	True
400020060171	least-1	least		False	True
400020060181	among-1	among		False	True
400020060191	the-1	the		False	True
400020060201	rulers-1	rulers		False	True
400020060211	of-2	of		False	True
400020060221	Judah-2	Judah		False	True
400020060231	,-4	,		True	False
400020060241	for-1	for		False	True
400020060251	out-1	out		False	True
400020060261	of-3	of		False	True
400020060271	you-2	you		False	True
400020060281	will-1	will		False	True
400020060291	come-1	come		False	True
400020060301	a-1	a		False	True
400020060311	ruler-1	ruler		False	True
400020060321	who-1	who		False	True
400020060331	will-2	will		False	True
400020060341	be-1	be		False	True
400020060351	the-2	the		False	True
400020060361	shepherd-1	shepherd		False	True
400020060371	of-4	of		False	True
400020060381	My-1	My		False	True
400020060391	people-1	people		False	True
400020060401	Israel-1	Israel		False	True
400020060411	.’-1	.’		False	True
400020070011	Then-1	Then		False	True
400020070021	Herod-1	Herod		False	True
400020070031	called-1	called		False	True
400020070041	the-1	the		False	True
400020070051	Magi-1	Magi		False	True
400020070061	secretly-1	secretly		False	True
400020070071	and-1	and		False	True
400020070081	learned-1	learned		False	True
400020070091	from-1	from		False	True
400020070101	them-1	them		False	True
400020070111	the-2	the		False	True
400020070121	exact-1	exact		False	True
400020070131	time-1	time		False	True
400020070141	the-3	the		False	True
400020070151	star-1	star		False	True
400020070161	had-1	had		False	True
400020070171	appeared-1	appeared		False	True
400020070181	.-1	.		True	False
400020080011	And-1	And		False	True
400020080021	sending-1	sending		False	True
400020080031	them-1	them		False	True
400020080041	to-1	to		False	True
400020080051	Bethlehem-1	Bethlehem		False	True
400020080061	,-1	,		True	False
400020080071	he-1	he		False	True
400020080081	said-1	said		False	True
400020080091	:-1	:		True	False
400020080101	“-1	“		True	False
400020080111	Go-1	Go		False	True
400020080121	and-1	and		False	True
400020080131	search-1	search		False	True
400020080141	carefully-1	carefully		False	True
400020080151	for-1	for		False	True
400020080161	the-1	the		False	True
400020080171	Child-1	Child		False	True
400020080181	,-2	,		True	False
400020080191	and-1	and		False	True
400020080201	when-1	when		False	True
400020080211	you-1	you		False	True
400020080221	find-1	find		False	True
400020080231	Him-1	Him		False	True
400020080241	,-3	,		True	False
400020080251	report-1	report		False	True
400020080261	to-2	to		False	True
400020080271	me-1	me		False	True
400020080281	,-4	,		True	False
400020080291	so-1	so		False	True
400020080301	that-1	that		False	True
400020080311	I-1	I		False	True
400020080321	too-1	too		False	True
400020080331	may-1	may		False	True
400020080341	go-1	go		False	True
400020080351	and-2	and		False	True
400020080361	worship-1	worship		False	True
400020080371	Him-1	Him		False	True
400020080381	.-1	.		True	False
400020090011	After-1	After		False	True
400020090021	they-1	they		False	True
400020090031	had-1	had		False	True
400020090041	heard-1	heard		False	True
400020090051	the-1	the		False	True
400020090061	king-1	king		False	True
400020090071	,-1	,		True	False
400020090081	they-2	they		False	True
400020090091	went-1	went		False	True
400020090101	on-1	on		False	True
400020090111	their-1	their		False	True
400020090121	way-1	way		False	True
400020090131	,-2	,		True	False
400020090141	and-1	and		False	True
400020090151	the-2	the		False	True
400020090161	star-1	star		False	True
400020090171	they-3	they		False	True
400020090181	had-2	had		False	True
400020090191	seen-1	seen		False	True
400020090201	in-1	in		False	True
400020090211	the-3	the		False	True
400020090221	east-1	east		False	True
400020090231	went-2	went		False	True
400020090241	ahead-1	ahead		False	True
400020090251	of-1	of		False	True
400020090261	them-1	them		False	True
400020090271	until-1	until		False	True
400020090281	it-1	it		False	True
400020090291	stood-1	stood		False	True
400020090301	over-1	over		False	True
400020090311	the-4	the		False	True
400020090321	place-1	place		False	True
400020090331	where-1	where		False	True
400020090341	the-5	the		False	True
400020090351	Child-1	Child		False	True
400020090361	was-1	was		False	True
400020090371	.-1	.		True	False
400020100011	When-1	When		False	True
400020100021	they-1	they		False	True
400020100031	saw-1	saw		False	True
400020100041	the-1	the		False	True
400020100051	star-1	star		False	True
400020100061	,-1	,		True	False
400020100071	they-2	they		False	True
400020100081	rejoiced-1	rejoiced		False	True
400020100091	with-1	with		False	True
400020100101	great-1	great		False	True
400020100111	delight-1	delight		False	True
